n-999999999998,  zeta 
1572, 0.127882
1573, -0.729483
1574, 0.625837
1575, -0.539923
1576, -0.152029
1577, -1.844104
1578, 0.073074
1579, 0.727285
1580, -0.575952
1581, -0.454786
1582, 5.632672
1583, -0.378007
1584, 3.574847
1585, -4.420946
1586, 5.955206
1587, -6.850501
1588, 4.393165
1589, 0.988095
1590, 0.107912
1591, -0.126646
1592, 1.481920
1593, 1.399945
1594, 5.919767
1595, -26.754739
1596, -3.961970
1597, 4.808293
1598, -0.352812
1599, -0.769674
1600, 0.174252
1601, -0.961258
1602, 0.502597
1603, -0.645882
1604, 1.318145
1605, -6.328043
1606, 1.061856
1607, -2.469597
1608, 0.368781
1609, -1.675732
1610, 3.774398
1611, -0.934783
1612, 0.183323
1613, -2.900560
1614, 0.909058
1615, -0.679582
1616, 0.129019
1617, -0.578927
1618, 0.878620
1619, -0.519473
1620, 0.998221
1621, -0.633790
1622, -0.249920
1623, 0.379532
1624, 3.915122
1625, -0.217184
1626, -12.667048
1627, -27.981425
1628, 22.807508
1629, 3.487100
1630, 5.523646
1631, -0.982459
1632, 3.585965
1633, 2.899225
1634, 1.166879
1635, -0.443288
1636, 1.128847
1637, 0.352490
1638, 1.052258
1639, -0.526209
1640, 0.599001
1641, -0.068863
1642, 0.208274
1643, -1.077328
1644, 2.087564
1645, -2.679570
1646, 2.456057
1647, -2.082479
1648, 0.084308
1649, -0.865052
1650, 1.045614
1651, 0.216635
1652, -0.474195
1653, -4.643669
1654, 1.123358
1655, -1.691563
1656, 2.797203
